                sˈɑ̃ : s'en, cent, sans, san, cents, sent, sang
                vwˈa : voies, voit, voix, voie, voient, vois
                kˈɛl : quelles, qu'elles, quelle, quels, quel, qu'elle
                 dˈi : dits, die, di, dis, dit, d'y
                  ˈo : eau, haut, eaux, aux, hauts, au
             akɔʁdˈe : accordés, accordé, accordée, accorder, accordées
          kɔ̃sideʁˈe : considéré, considérées, considérée, considérer, considérés
             anɔ̃sˈe : annoncées, annoncer, annoncés, annoncé, annoncée
            pʁɔpozˈe : proposer, proposées, proposé, proposée, proposés
                klˈe : clefs, clé, claes, clés, clef
            ʁezɛʁvˈe : réservée, réservés, réserver, réservé, réservées
                kˈɑ̃ : qu'en, camps, quand, quant, camp
                 nˈe : nez, nés, née, né, n'ai
              lɑ̃sˈe : lancés, lancé, lancées, lancée, lancer
            ɛ̃teɡʁˈe : intégrer, intégrées, intégrée, intégrés, intégré
            ɛ̃vɛstˈi : investi, investie, investies, investit, investis
             aplikˈe : appliqué, appliquées, appliquer, appliquée, appliqués
         ʁəpʁezɑ̃tˈe : représenté, représentées, représentée, représenter, représentés
           ɛ̃teʁɛsˈe : intéressées, intéressé, intéressée, intéressés, intéresser
               pɛjˈe : payée, payées, payé, payés, payer
              fiksˈe : fixée, fixé, fixées, fixer, fixés
                sˈɑ̃ : s'en, cent, sans, san, cents, sent, sang
                vwˈa : voies, voit, voix, voie, voient, vois
                kˈɛl : quelles, qu'elles, quelle, quels, quel, qu'elle
                 dˈi : dits, die, di, dis, dit, d'y
                  ˈo : eau, haut, eaux, aux, hauts, au
             akɔʁdˈe : accordés, accordé, accordée, accorder, accordées
          kɔ̃sideʁˈe : considéré, considérées, considérée, considérer, considérés
             anɔ̃sˈe : annoncées, annoncer, annoncés, annoncé, annoncée
            pʁɔpozˈe : proposer, proposées, proposé, proposée, proposés
                klˈe : clefs, clé, claes, clés, clef
            ʁezɛʁvˈe : réservée, réservés, réserver, réservé, réservées
                kˈɑ̃ : qu'en, camps, quand, quant, camp
                 nˈe : nez, nés, née, né, n'ai
              lɑ̃sˈe : lancés, lancé, lancées, lancée, lancer
            ɛ̃teɡʁˈe : intégrer, intégrées, intégrée, intégrés, intégré
            ɛ̃vɛstˈi : investi, investie, investies, investit, investis
             aplikˈe : appliqué, appliquées, appliquer, appliquée, appliqués
         ʁəpʁezɑ̃tˈe : représenté, représentées, représentée, représenter, représentés
           ɛ̃teʁɛsˈe : intéressées, intéressé, intéressée, intéressés, intéresser
               pɛjˈe : payée, payées, payé, payés, payer
              fiksˈe : fixée, fixé, fixées, fixer, fixés
           ɔʁɡanizˈe : organisée, organiser, organisé, organisées, organisés
            ytilizˈe : utiliser, utilisées, utilisé, utilisés, utilisée
               aʃtˈe : achetée, acheté, achetées, acheter, achetés
                vˈɛʁ : verres, vers, vert, verts, verre
               kʁeˈe : créé, créer, créées, créés, créée
             limitˈe : limitées, limités, limiter, limitée, limité
         pʁivileʒjˈe : privilégiés, privilégiées, privilégié, privilégier, privilégiée
            ʁealizˈe : réaliser, réalisé, réalisées, réalisés, réalisée
              ʃaʁʒˈe : chargée, chargé, chargées, charger, chargés
              plasˈe : placer, placé, placées, placée, placés
             adaptˈe : adaptés, adaptée, adaptées, adapter, adapté
            ɛ̃stalˈe : installée, installer, installées, installés, installé
              sityˈe : situer, situées, situés, située, situé
            devlɔpˈe : développer, développés, développé, développées, développée
          ɑ̃ʁʒistʁˈe : enregistrée, enregistré, enregistrés, enregistrer, enregistrées
            efɛktyˈe : effectués, effectuée, effectuées, effectuer, effectué
                 ˈɛl : elle, ailes, elles, el, l
             etablˈi : établis, établie, établies, établit, établi
             pybliˈe : publiée, publiés, publier, publiées, publié
               kˈɔ̃t : compte, comptes, conte, comptent, comte
               aplˈe : appelée, appelé, appelées, appeler, appelés
               pasˈe : passée, passées, passé, passer, passés
                kˈuʁ : courent, courts, court, cour, cours
              vɛʁsˈe : verser, versé, versés, versée, versées
                ʒˈɑ̃ : gens, jeans, jan, jean, j'en
              fuʁnˈi : fournit, fournies, fournie, fourni, fournis
           pʁezɑ̃tˈe : présenté, présentée, présentées, présenter, présentés
             ɛ̃pozˈe : imposée, imposé, imposer, imposées, imposés
               ʒyʒˈe : jugée, jugées, jugé, juger, jugés
            ɡaʁɑ̃tˈi : garanti, garantie, garantis, garantit, garanties
             avɑ̃sˈe : avancer, avancés, avancé, avancée, avancées
               dɔnˈe : donné, donner, donnée, données, donnés
                bˈaʁ : bar, bars, barres, barre, bart
        tʁadisjɔnˈɛl : traditionnelles, traditionnelle, traditionnels, traditionnel
              ekipˈe : équipé, équipées, équipés, équipée
              ʁɛstˈe : resté, restée, restés, rester
            pʁatikˈe : pratiqué, pratiquée, pratiquer, pratiqués
               ʁeˈɛl : réelle, réelles, réel, réels
                etˈa : état, etats, etat, états
                 mˈɛ : met, mets, mais, mai
              pʁivˈe : privé, privés, privée, privées
                swˈa : soient, soit, soi, soie
              afiʃˈe : affiché, afficher, affichée, affichés
                tˈɛl : telles, tels, tel, telle
                dˈɛl : del, d'elle, dell, d'elles
                fˈyʁ : furent, für, fur
                sˈit : site, sites, cite
             difyzˈe : diffusé, diffusée, diffuser
            apʁesjˈe : apprécier, appréciée, apprécié
              tɑ̃tˈe : tenter, tenté, tentés
               sˈɔʁt : sorte, sortes, sortent
           ʁɑ̃plasˈe : remplacés, remplacé, remplacer
             kalkˈyl : calcul, calcule, calculs
                kˈit : quittent, kit, quitte
               pˈɔʁt : porte, portent, portes
                 pˈo : pot, peau, peaux
                 vˈo : vos, vaut, veau
            aksɛptˈe : accepter, accepté, acceptée
               ʃˈɑ̃ʒ : changent, changes, change
           sɛ̃dikˈal : syndicales, syndical, syndicale
            ɛ̃pʁimˈe : imprimer, imprimés, imprimé
                nˈɛt : net, nette, nets
             ɑ̃tamˈe : entamé, entamer, entamée
              statˈy : statuts, statut, statue
            oɡmɑ̃tˈe : augmentée, augmenté, augmenter
           pʁɔnɔ̃sˈe : prononcé, prononcer, prononcée
           ʒystifjˈe : justifié, justifier, justifiée
              mɔʁˈal : morale, morales, moral
         selɛksjɔnˈe : sélectionnés, sélectionné, sélectionner
              tɔ̃bˈe : tombée, tomber, tombé
                tˈɑ̃ : temps, tant, tend
           familjˈal : familial, familiale, familiales
              medjˈa : média, médias, media
                kˈɛs : caisse, caisses, qu'est-ce
              maʁʃˈe : marcher, marchés, marché
               fʁˈɑ̃ : frans, franc, francs
            deklaʁˈe : déclarés, déclaré, déclarer
             ʁəkɔnˈy : reconnus, reconnue, reconnu
           ɔʁiʒinˈal : original, originales, originale
               pˈaʁk : parcs, park, parc
             kaʁtjˈe : cartier, quartiers, quartier
             evalyˈe : évalué, évaluer, évaluée
                 nˈi : n'y, nie, ni
                sˈɔ̃ : son, sons, sont
             ʁɑ̃plˈi : remplit, remplie, rempli
               ʒɔlˈi : jolies, joli, jolie
             diʁiʒˈe : dirigée, diriger, dirigé
          pʁɛ̃sipˈal : principales, principale, principal
             kɔ̃fjˈe : confier, confié, confiée
            kɔmynˈal : communale, communales, communal
            paʁvənˈy : parvenus, parvenue, parvenu
          kɔ̃stityˈe : constitué, constituée, constituer
             nɔʁmˈal : normales, normal, normale
              ʁəvnˈy : revenus, revenu, revenue
             debuʃˈe : débouché, débouchés, déboucher
               tiʁˈe : tirés, tiré, tirer
                kˈaʃ : cachent, cash, cache
              ʁɑ̃dˈy : rendu, rendus, rendue
             dɛsinˈe : dessiné, dessinée, dessiner
           ɑ̃plwajˈe : employé, employés, employées
              limˈit : limite, limitent, limites
               lˈivʁ : livre, livres, livrent
               plˈas : place, placent, places
              ʁaʃtˈe : rachetée, racheté, racheter
            mɔ̃djˈal : mondial, mondiales, mondiale
         ɔksidɑ̃tˈal : occidentales, occidental, occidentale
              livʁˈe : livrés, livré, livrer
             plɔ̃ʒˈe : plongé, plonger, plongée
           tʁavɛʁsˈe : traversé, traverser, traversée
                sˈɛt : sept, cet, cette
                bˈɔn : bonnes, bonne, bonn
              lɔkˈal : locale, locales, local
               ɡʁˈup : group, groupe, groupes
            kɔ̃sɛjˈe : conseillers, conseillé, conseiller
            ɑ̃vwajˈe : envoyés, envoyé, envoyer
                 bˈo : beaux, baux, beau
              fiɡˈyʁ : figure, figures, figurent
        ɔpeʁasjɔnˈɛl : opérationnelle, opérationnels, opérationnel
              ɔbtnˈy : obtenu, obtenus, obtenue
          ɑ̃tʁətjˈɛ̃ : entretiens, entretien, entretient
             pʁatˈik : pratiquent, pratique, pratiques
                fˈil : file, fil, fils
            sɑ̃tʁˈal : centrales, central, centrale
             ʁəʃˈɛʁʃ : recherchent, recherche, recherches
             adɔptˈe : adopter, adoptée, adopté
                ʃˈɛʁ : chair, cher, chers
          ʁəkɔmɑ̃dˈe : recommandé, recommander, recommandée
             ɛstimˈe : estimé, estimer, estimée
         tʁɑ̃sfɔʁmˈe : transformer, transformé, transformée
            elabɔʁˈe : élaborer, élaborée, élaboré
             asistˈe : assistée, assisté, assister
                tˈɛʁ : ter, terres, terre
              ʁeysˈi : réussi, réussie, réussit
            ʁəmɔ̃tˈe : remonté, remonter, remontée
        fɔ̃damɑ̃tˈal : fondamentales, fondamental, fondamentale
             tʁavˈaj : travail, travaillent, travaille
              vudʁˈɛ : voudrait, voudraient, voudrais
            paʁtaʒˈe : partager, partagés, partagé
              anˈɔ̃s : annonce, annoncent, annonces
           ʁɑ̃fɔʁsˈe : renforcer, renforcé, renforcée
               ʁəvˈy : revues, revue, revu
             depozˈe : déposée, déposé, déposer
                 pˈø : peut, peux, peu
             ɛksklˈy : exclue, exclu, exclus
                dˈyʁ : dur, durs, dure
             ɔbliʒˈe : obligé, obligés, obligée
               pˈɑ̃s : pensent, pense, pence
                ʁˈɑ̃ : rang, rend, rangs
                fˈɛ̃ : fin, faim, fins
            mɔdifjˈe : modifier, modifié, modifiée
                 fˈɛ : faits, fait, fais
               otˈœʁ : auteurs, hauteur, auteur
              ʁəljˈe : relier, relié, reliés
              mˈɔ̃tʁ : montrent, montre, montres
              tʁuvˈe : trouvé, trouver, trouvée
            kalkylˈe : calculé, calculée, calculer
            spesjˈal : spéciales, spéciale, spécial
                sˈak : sachs, sacs, sac
                mˈɛ̃ : mains, min, main
            ʁətɔ̃bˈe : retombé, retombées, retomber
             stʁˈikt : strict, stricte, strictes
                lˈœʁ : leur, leurs, l'heure
             sɔsjˈal : sociales, sociale, social
                kˈaʁ : quart, quarts, car
                tˈiʁ : tir, tirent, tire
              sɔʁtˈi : sorties, sortie, sorti
           pʁɔlɔ̃ʒˈe : prolongée, prolongé, prolonger
              ʁətnˈy : retenus, retenue, retenu
              mɔ̃tˈe : montée, monté, monter
              ʁapˈɛl : rappel, rappellent, rappelle
                vˈiv : vivent, vive, vives
            dispozˈe : disposer, disposés, disposé
                fwˈa : foi, fois, foie
           nasjɔnˈal : national, nationale, nationales
            ɛkspozˈe : exposées, exposé, exposés
             atɑ̃dˈy : attendus, attendue, attendu
            ɔʁjɑ̃tˈe : orientée, orientés, orienté
                alˈe : allez, allé, aller
            tɛʁminˈe : terminer, terminée, terminé
           ekɔnɔmˈik : économiques, économique, economique
            libeʁˈal : libérale, libérales, libéral
                 ˈɛd : aide, ed, aides
                 ˈɛm : aime, m, aiment
                pˈaʁ : part, parts, par
               navˈɛ : n'avais, n'avaient, n'avait
                tˈuʃ : touche, touches, touchent
          distʁibyˈe : distribués, distribuer, distribué
           akseleʁˈe : accélérer, accéléré, accélérée
                 pˈy : pu, puts, put
             kɔ̃sˈɛj : conseille, conseils, conseil
           fasilitˈe : facilités, faciliter, facilité
           elɛktʁˈik : électriques, electric, électrique
            otoʁizˈe : autorisé, autorisés, autorisée
           ʁɑ̃kˈɔ̃tʁ : rencontres, rencontrent, rencontre
            edisjˈɔ̃ : éditions, editions, édition
           ʁeʒjɔnˈal : régional, régionale, régionales
                dˈɔ̃ : dons, dont, don
              fɔ̃dˈe : fonder, fondée, fondé
            kɔ̃tinˈy : continue, continuent, continu
                vˈɔl : vol, vols, vole
                 lˈɛ : l'est, leys, lait
               lɛsˈe : laisser, laissé, laissez
           kɔ̃fiʁmˈe : confirmée, confirmé, confirmer
               bʁˈyt : brut, bruts, brute
                bˈɔ̃ : bons, bon, bond
           ameljɔʁˈe : amélioré, améliorée, améliorer
            ɛ̃fɔʁmˈe : informé, informés, informer
             asɔsjˈe : associée, associé, associés
                 kˈu : coups, cou, coup
          pɔtɑ̃sjˈɛl : potentiel, potentielle, potentiels
             fiskˈal : fiscal, fiscales, fiscale
                 sˈi : s'y, cie, si
              dəvnˈy : devenus, devenu, devenue
              detnˈy : détenu, détenus, détenue
               blˈɔk : blok, bloc, blocs
       kɔmɛʁsjalizˈe : commercialisés, commercialisé, commercialiser
               ʁˈisk : risque, risquent, risques
                esˈɛ : essai, essaie, essais
             dəmˈɑ̃d : demande, demandent, demandes
               okˈɛl : auxquelles, auquel, auxquels
            pʁɔsedˈe : procédé, procédés, procéder
              maʁkˈe : marqué, marquer, marquée
               kaʃˈe : cacher, caché, cachés
                 lˈo : lots, l'eau, lot
                  ˈa : ah, ha, a
               tuʃˈe : touché, touchés, toucher
                 vˈy : vues, vu, vue
            fabʁikˈe : fabriquer, fabriqué, fabriqués
            finɑ̃sˈe : financée, financé, financer
             apɔʁtˈe : apportées, apporté, apporter
                pˈoz : posent, pause, pose
               eɡˈal : égal, égale, égales
                ʃˈɑ̃ : champ, chant, champs
           ɑ̃tisipˈe : anticipée, anticiper, anticipé
               tˈabl : tablent, tables, table
                mˈɔ̃ : m'ont, mon, mons
            ʁətʁuvˈe : retrouvée, retrouver, retrouvé
                ʒˈyʒ : jugent, juges, juge
               fˈɔʁm : forment, formes, forme
              aʒutˈe : ajouter, ajoutée, ajouté
                 ˈɔm : hommes, homme, home
                dˈat : dates, datent, date
              fɔʁmˈe : formé, formés, former
                ˈɔfʁ : offrent, offre, offres
             ʁepytˈe : réputés, réputée, réputé
                blˈø : bleus, bleue, bleu
             kɔ̃klˈy : conclut, conclu, conclus
           kɔ̃sɛʁvˈe : conservée, conservé, conserver
            ʁepaʁtˈi : réparti, réparties, répartis
               mɔnˈɛ : money, monnaies, monnaie
              nuvˈɛl : nouvelle, nouvelles, nouvel
          kɔ̃fʁɔ̃tˈe : confrontée, confrontés, confronté
          kɔmɛʁsjˈal : commercial, commerciales, commerciale
           salaʁjˈal : salarial, salariale, salariales
      ɛ̃tɛʁnasjɔnˈal : internationales, internationale, international
               vulˈɛ : voulaient, voulais, voulait
                pˈɛ̃ : pain, pains, peint
           ɑ̃vizaʒˈe : envisagé, envisager, envisagée
                amˈi : ami, amis, amie
               ləvˈe : levé, lever, levée
               afˈiʃ : affichent, affiches, affiche
            medikˈal : médicale, médical, médicales
          ʁɑ̃kɔ̃tʁˈe : rencontrés, rencontrer, rencontré
            pʁepaʁˈe : préparés, préparé, préparer
                 pˈɛ : paie, paient, paix
                fˈas : face, fassent, fasse
                dˈɑ̃ : dans, dents, d'en
              pɛʁdˈy : perdus, perdue, perdu
             ʁɑ̃tʁˈe : rentrées, rentrer, rentrée
               pusˈe : poussée, pousser, poussé
              klasˈe : classer, classé, classés
           ɛ̃teʁjˈœʁ : intérieur, intérieure, intérieurs
             pʁɔfˈil : profil, profils, profile
            pʁezˈɑ̃t : présentes, présentent, présente
              leɡˈal : légal, légales, légale
            ʒeneʁˈal : générale, générales, général
        ɛ̃tɛlɛktyˈɛl : intellectuel, intellectuels, intellectuelle
               vizˈe : visés, viser, visé
            ɛɡzɛʁsˈe : exercée, exercer, exercé
             ɑ̃plwˈa : emploi, emploie, emplois
             desidˈe : décider, décidée, décidé
                fˈɔ̃ : font, fond, fonds
               akˈœj : accueillent, accueil, accueille
                sˈɛl : celle, sel, celles
                 dˈy : dues, dus, due
               setˈɛ : s'étaient, c'était, s'était
           ʒydisjˈɛʁ : judiciaires, judiciaire
              kˈɛlkə : quelques, quelque
               maʁˈi : mari, marie
            pasjɔnˈe : passionné, passionnés
               suˈɛt : souhaitent, souhaite
          ɛ̃tɑ̃sjˈɔ̃ : intention, intentions
                nˈyl : nul, nulle
               pˈøpl : peuple, peuples
            ʁəlatˈif : relatif, relatifs
             deleɡˈe : délégué, délégués
              ʒˈysko : jusqu'au, jusqu'aux
             sypˈɛʁb : superbes, superbe
              valˈœʁ : valeurs, valeur
             buʁsjˈe : boursier, boursiers
            apaʁˈɑ̃s : apparences, apparence
              dɔmˈaʒ : dommage, dommages
             kupˈabl : coupables, coupable
               ʒətˈe : jeté, jeter
                pˈɔʃ : poches, poche
              talˈɑ̃ : talents, talent
                dˈam : dame, dames
            øʁɔpeˈɛ̃ : européen, européens
               kilˈo : kilo, kilos
           bydʒetˈɛʁ : budgétaire, budgétaires
                kˈup : coupes, coupe
               nˈɔʁm : normes, norme
               amnˈe : amener, amené
     ʁəpʁezɑ̃tasjˈɔ̃ : représentation, représentations
            sɛ̃dikˈa : syndicats, syndicat
               pˈaʁl : parlent, parle
             ʁezˈɛʁv : réserves, réserve
            vizitˈœʁ : visiteur, visiteurs
          pʁɔvizjˈɔ̃ : provision, provisions
              finˈal : final, finale
             ɡanjˈɑ̃ : gagnant, gagnants
                pˈas : passe, passent
               noʁˈɛ : n'auraient, n'aurait
             mɔdeʁˈe : modéré, modérée
              evɔlˈy : évolue, évoluent
          ɛ̃pʁimˈɑ̃t : imprimantes, imprimante
              sˈɑ̃bl : semblent, semble
             devlˈɔp : développent, développe
              aktˈif : actif, actifs
                ʒuˈe : joué, jouer
               ʃemˈa : schéma, schémas
              pʁɔʒˈɛ : projet, projets
             kɔ̃sˈɛʁ : concert, concerts
            kʁeatˈif : créatifs, créatif
             skɔlˈɛʁ : scolaires, scolaire
              pɔlˈis : polices, police
              vədˈɛt : vedette, vedettes
              penˈal : pénal, pénale
               ɔʁˈɛʁ : horaire, horaires
              ʃˈɑ̃bʁ : chambre, chambres
            spɔʁtˈif : sportif, sportifs
                odˈi : audi, audit
               mˈɑ̃k : manquent, manque
           tɑ̃pɔʁˈɛʁ : temporaire, temporaires
                ɛmˈe : aimé, aimer
               ɔfˈɛʁ : offerts, offert
      administʁatˈœʁ : administrateurs, administrateur
               vjˈɛn : vienne, viennent
        oɡmɑ̃tasjˈɔ̃ : augmentation, augmentations
          ɑ̃plwajˈœʁ : employeurs, employeur
                mˈɛt : mettent, mette
             ʁafinˈe : raffinée, raffiné
               pwˈɛ̃ : points, point
        pɛʁsɔnalitˈe : personnalités, personnalité
             kamjˈɔ̃ : camion, camions
           aʁtistˈik : artistique, artistiques
               tʁˈyk : trucs, truc
             kɔ̃plˈɛ : complet, complets
             patʁˈɔ̃ : patrons, patron
